Garage,Operator,Garage No
BATTERSEA,ABELLIO,123
CROYDON,ABELLIO,125
HAYES,ABELLIO,124
SOUTHALL,ABELLIO,134
TWICKENHAM,ABELLIO,98
WALWORTH ROAD,ABELLIO,117
ASH GROVE,ARRIVA,96
BARKING,ARRIVA,87
BRIXTON,ARRIVA,55
CLAPTON,ARRIVA,47
DARTFORD,ARRIVA,14
EDMONTON,ARRIVA,74
ENFIELD,ARRIVA,36
GRAYS,ARRIVA,19
NORWOOD,ARRIVA,25
PALMERS GREEN,ARRIVA,92
SOUTH CROYDON,ARRIVA,31
STAMFORD HILL,ARRIVA,63
THORNTON HEATH,ARRIVA,51
TOTTENHAM,ARRIVA,27
WATFORD,ARRIVA,56
WOOD GREEN,ARRIVA,32
ASH GROVE,CT PLUS,79
WALTHAMSTOW,CT PLUS,129
BARKING (RIVER ROAD),GO-AHEAD,133
BEXLEYHEATH,GO-AHEAD,10
CAMBERWELL,GO-AHEAD,34
MERTON,GO-AHEAD,41
MORDEN WHARF,GO-AHEAD,135
NEW CROSS,GO-AHEAD,80
NORTHUMBERLAND PARK,GO-AHEAD,86
CROYDON,GO-AHEAD,59
ORPINGTON,GO-AHEAD,94
PECKHAM,GO-AHEAD,33
PUTNEY,GO-AHEAD,35
RAINHAM,GO-AHEAD,83
SILVERTOWN,GO-AHEAD,110
STOCKWELL,GO-AHEAD,24
SUTTON,GO-AHEAD,11
WATERLOO,GO-AHEAD,30
WATERSIDE WAY,GO-AHEAD,127
ALPERTON,METROLINE,66
BRENTFORD,METROLINE,48
CRICKLEWOOD,METROLINE,76
EDGWARE,METROLINE,82
GREENFORD,METROLINE,61
HARROW WEALD,METROLINE,81
HAYES,METROLINE,65
HOLLOWAY,METROLINE,57
KINGS CROSS,METROLINE,108
PERIVALE,METROLINE,78
PERIVALE WEST,METROLINE,115
POTTERS BAR,METROLINE,26
UXBRIDGE,METROLINE,21
WILLESDEN,METROLINE,46
WILLESDEN JUNCTION,METROLINE,89
ATLAS ROAD,RATP DEV,136
EPSOM,RATP DEV,103
EDGWARE,RATP DEV,68
FULWELL,RATP DEV,91
HARROW,RATP DEV,39
HOUNSLOW,RATP DEV,71
HOUNSLOW HEATH,RATP DEV,15
SHEPHERDS BUSH,RATP DEV,44
STAMFORD BROOK,RATP DEV,60
TOLWORTH,RATP DEV,49
TWICKENHAM,RATP DEV,97
BARKING,STAGECOACH,53
BOW,STAGECOACH,43
BROMLEY,STAGECOACH,90
CATFORD,STAGECOACH,20
KANGLEY BRIDGE,STAGECOACH,137
LEYTON,STAGECOACH,93
PLUMSTEAD,STAGECOACH,100
RAINHAM,STAGECOACH,102
ROMFORD,STAGECOACH,23
WEST HAM,STAGECOACH,101
SOUTH MIMMS,SULLIVAN BUSES,85
TRINITY BUOY WHARF,THAMES CLIPPER,131
LEA INTERCHANGE,TOWER TRANSIT,105
PARK ROYAL,TOWER TRANSIT,130
WESTBOURNE PARK,TOWER TRANSIT,40
HATFIELD,UNIVERSITY BUS,119
